iter	RMSE
0	4296.414516
1	3996.333527
2	3722.189938
3	3484.547666
4	3276.603659
5	3093.823884
6	2929.486524
7	2787.94419
8	2662.282419
9	2551.307928
10	2458.252314
11	2373.416413
12	2301.346607
13	2238.128431
14	2183.973534
15	2137.253993
16	2096.911508
17	2059.254413
18	2029.352065
19	1999.82432
20	1974.752562
21	1953.454678
22	1935.243843
23	1919.386673
24	1903.375048
25	1890.55604
26	1877.3529
27	1864.970656
28	1855.132229
29	1844.46191
30	1836.476053
31	1828.886136
32	1822.540247
33	1816.861866
34	1810.327907
35	1803.28324
36	1798.955554
37	1793.770794
38	1789.713675
39	1786.018243
40	1782.009203
41	1776.091094
42	1771.496701
43	1766.824652
44	1762.073586
45	1758.465235
46	1755.995316
47	1752.202554
48	1749.122731
49	1745.801262
50	1743.502698
51	1741.015839
52	1737.188887
53	1733.86434
54	1732.061841
55	1728.548779
56	1725.174776
57	1721.789262
58	1719.442778
59	1717.200473
60	1715.272765
61	1713.926972
62	1712.294691
63	1710.202541
64	1708.073618
65	1706.098712
66	1704.771996
67	1703.576996
68	1700.69059
69	1699.082492
70	1698.101998
71	1696.284135
72	1694.394225
73	1692.966416
74	1691.52112
75	1689.39679
76	1688.382494
77	1686.023473
78	1684.648838
79	1682.77868
80	1680.825504
81	1679.507933
82	1678.10916
83	1676.644859
84	1674.587567
85	1673.396022
86	1672.533204
87	1671.5662
88	1670.338066
89	1669.645745
90	1668.694151
91	1667.179484
92	1665.942801
93	1664.282119
94	1663.367918
95	1661.584598
96	1659.507745
97	1658.749688
98	1657.365871
99	1656.825206
100	1655.593171
101	1654.118502
102	1653.046374
103	1651.435672
104	1650.194381
105	1649.171018
106	1648.592794
107	1646.993199
108	1645.76186
109	1644.593704
110	1643.445663
111	1642.185193
112	1641.513555
113	1640.05748
114	1639.188966
115	1638.029943
116	1636.994844
117	1634.847255
118	1633.560783
119	1632.765536
120	1632.028088
121	1630.216108
122	1629.517283
123	1628.919191
124	1627.728121
125	1627.072422
126	1625.642142
127	1624.777476
128	1623.605268
129	1623.120038
130	1622.361141
131	1621.377061
132	1620.149888
133	1619.558777
134	1619.007623
135	1618.117237
136	1616.794964
137	1615.605476
138	1614.411116
139	1613.374188
140	1612.304083
141	1610.959056
142	1609.996572
143	1609.191881
144	1608.664565
145	1607.625503
146	1606.984371
147	1605.873939
148	1604.707144
149	1603.770133
150	1603.131455
151	1601.001793
152	1600.067554
153	1598.828944
154	1598.269959
155	1598.146081
156	1597.533873
157	1596.657142
158	1595.765302
159	1595.033435
160	1594.13694
161	1593.407396
162	1592.752776
163	1592.234184
164	1591.811719
165	1591.097325
166	1590.409854
167	1589.633771
168	1588.928538
169	1588.263622
170	1587.261697
171	1586.165452
172	1585.19443
173	1584.482318
174	1583.771536
175	1582.454434
176	1581.529662
177	1580.965663
178	1579.503475
179	1579.469815
180	1578.429144
181	1577.913272
182	1577.166683
183	1576.109533
184	1575.605567
185	1574.778482
186	1574.018913
187	1573.422813
188	1573.393946
189	1572.079571
190	1571.544661
191	1570.915852
192	1569.997059
193	1569.504514
194	1568.814469
195	1568.250786
196	1567.547952
197	1567.137015
198	1566.523538
199	1565.914422
200	1565.306663
201	1564.740832
202	1564.012135
203	1563.573729
204	1563.016392
205	1562.533901
206	1561.947088
207	1561.49454
208	1561.473621
209	1561.005102
210	1560.626006
211	1559.71847
212	1558.960268
213	1558.506205
214	1557.922012
215	1556.776227
216	1556.283024
217	1555.770601
218	1555.211949
219	1554.832376
220	1554.378947
221	1553.714836
222	1553.45887
223	1552.925793
224	1552.433271
225	1551.735427
226	1551.072067
227	1550.543454
228	1549.86882
229	1549.237978
230	1548.880724
231	1548.607525
232	1548.183479
233	1547.481426
234	1546.875521
235	1546.257592
236	1545.917633
237	1545.472893
238	1544.757256
239	1544.372106
240	1543.759463
241	1543.110989
242	1542.855344
243	1542.528873
244	1542.026931
245	1541.729717
246	1541.102915
247	1540.569784
248	1539.962496
249	1539.515574
250	1539.025706
251	1538.54012
252	1537.661772
253	1537.081406
254	1536.687069
255	1536.494875
256	1535.849997
257	1534.942779
258	1534.668834
259	1534.181343
260	1533.779536
261	1532.987099
262	1532.446043
263	1531.968598
264	1531.516104
265	1530.871533
266	1530.353429
267	1529.829721
268	1529.338171
269	1528.904257
270	1528.30012
271	1527.525658
272	1526.998277
273	1526.428166
274	1525.822957
